О всё видавшем;Неизвестный автор;XVIII—XVII вв. до н. э.;Шумер / Аккад;Аккадский
Книга Иова;Неизвестный автор;VI—IV вв. до н. э.;Держава Ахеменидов;Иврит
Тысяча и одна ночь;Неизвестный автор;700—1500;Арабский халифат;Арабский
Сага о Ньяле ;Неизвестный автор;XIII век;Исландия;Древнеисландский
Божественная комедия;Данте Алигьери;1265—1321;Италия;Итальянский
Сказки;Ханс Кристиан Андерсен;1835—1837;Дания;Датский
И пришло разрушение;Чинуа Ачебе;1958;Нигерия;Английский
Отец Горио;Оноре де Бальзак;1835;Франция;Французский
Декамерон;Джованни Боккаччо;1349—1353;Италия;Итальянский
Вымыслы;Хорхе Луис Борхес;1944—1986;Аргентина;Испанский
Грозовой перевал;Эмили Бронте;1847;Великобритания;Английский
Рамаяна;Вальмики;III в. до н. э. — III в. н. э.;Индия;Санскрит
Энеида;Вергилий;29—19 до н. э.;Римская империя;Классическая латынь
Миссис Дэллоуэй;Вирджиния Вулф;1925;Великобритания;Английский
На маяк;Вирджиния Вулф;1927;Великобритания;Английский
Махабхарата;Вьяса;IV в. до н. э. — IV в. н. э.;Индия;Санскрит
Голод;Кнут Гамсун;1890;Норвегия;Норвежский
Цыганское романсеро;Федерико Гарсиа Лорка;1928;Испания;Испанский
Сто лет одиночества;Габриэль Гарсиа Маркес;1967;Колумбия;Испанский
Любовь во время чумы;Габриэль Гарсиа Маркес;1985;Колумбия;Испанский
Фауст;Иоганн Вольфганг фон Гёте;1832;Германия;Немецкий
Тропы по большому сертану;Жуан Гимарайнс Роза;1956;Бразилия;Португальский
Мёртвые души;Николай Васильевич Гоголь;1842;Россия;Русский
Илиада;Гомер;850—750 до н. э.;Смирна;Древнегреческий
Одиссея;Гомер;VIII в. до н. э.;Смирна;Древнегреческий
Жестяной барабан;Гюнтер Грасс;1959;Германия;Немецкий
Берлин Александрплац;Альфред Дёблин;1929;Германия;Немецкий
Улисс;Джеймс Джойс;1922;Великобритания / Ирландия;Английский
Жак-фаталист и его хозяин;Дени Дидро;1796;Франция;Французский
Большие надежды;Чарльз Диккенс;1861;Великобритания;Английский
Преступление и наказание;Фёдор Достоевский;1866;Россия;Русский
Идиот;Фёдор Достоевский;1869;Россия;Русский
Бесы;Фёдор Достоевский;1872;Россия;Русский
